ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,TOI,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks,LMF_open,LMF_EQ,LMF_FDI_total_stocks_GDP,LMF_open_gdp,LMF_EQ_gdp,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year,initial_GDP_pc
PHL,"(2005,2010]",2008,439818.76875,2.56698799133301,16.618983745575,4.83805169250007,1.57395036056543,4.50795902811898,4.88500182578673,1.65702482559636,58.9353790283203,60.4343475341797,57.4364143371582,58.6316467285156,60.4966735839844,56.7666198730469,59.2391166687012,60.3720260620117,58.106209564209,4.93090919441799,78.9704756897458,38.7573084510572,40.2131672386886,90915412,61911802864.3768,62634181694.4232,64336310901.7293,64863195236.8642,7.97702035129071,51.522999578562,0.448331034623921,236504.889955658,-0.244946267642081,0.492095586657524,38021.8,183261.4,19985.8,0.233164752013978,1.13441364558056,0.124855352418391,13.324198,3.16268,16.486878,6.688,6.686,7.228,,95.6643437098,56.28,34,78.96,6.686,7.228,95.6643437098,78.800215148,,,2006,4.35638244920046
PHL,"(2010,2015]",2013,620287.625,2.63201637268066,20.2417939901352,6.28943680363941,1.83709529504728,4.58967556880976,4.71567897391922,1.63611780530607,54.3820045471191,54.5128799438477,54.2511322021484,55.2831008911133,53.5379463195801,57.0282569885254,53.480908203125,55.4878128051758,51.4740097045899,2.92001691906752,63.4008581067965,29.6352032008819,33.7656549059147,98856117.4,78089909996.5501,76988981008.0483,89169268721.7012,83714239345.8253,7.6065221987524,49.6603430954084,0.403031368312059,241781.189168158,-0.727482749242336,0.378910699486733,78069.4,300986,42204.8,0.291625086975109,1.13660049959992,0.157908472796225,17.138336,8.852712,25.991048,7.04,7.042,6.948,,96.226719084875,58.76,50,75.94,7.042,6.948,96.228580898,77.4662246725,,,2011,5.8026424502353
POL,"(1990,1995]",1993,342238.8125,2.83146739006043,15.5706444382668,8.93693496289342,2.18393852031681,3.64492464125842,6.18991441991343,0.260754673938903,38.6042839050293,31.4500289916992,45.7585388183594,38.5562919616699,27.2760822296143,49.8365020751953,38.6522766113281,35.6239761352539,41.680574798584,44.1549786194412,43.6783943507513,22.9605173449227,20.7178770058285,38441783.6,32635463917.5258,54295758299.3401,29447835051.5464,51306669319.8023,21.4749962039407,49.3102448689213,0.306011212552778,127144.080192492,-1.3476978212595,0.233431607484818,3608.8,77675.8,304.8,0.0325742324972909,0.78999592874235,0.0026669730127997,2.65672,0.242252,2.898972,7.21,6.82,6.04,89.5000015258789,92.4883541655,50.7,70,57,6.82,6.04,92.4883541655,69.108390046,46.25,37.5,1991,7.6238994056431
POL,"(1995,2000]",1998,484441.79375,2.97041344642639,19.9873664975166,12.5686602270827,2.5291950959999,3.65176182372958,5.14199227948814,0.0508354913967146,44.6845497131348,34.3758312225342,54.9932601928711,48.0246879577637,32.2688941955566,63.7804809570313,41.3444053649902,36.4827682495117,46.2060417175293,12.6720458521167,53.4844560260152,24.5578956480359,28.9265603779793,38571282.2,41112699283.5143,74917653301.4957,48493669425.009,88543295857.7919,18.4945938905628,92.295199134722,0.393755837074811,185436.234945392,-1.21001923084259,0.265725812315941,22827,114180.8,4078,0.136741059501445,0.688367693736235,0.0244381325025626,12.810774,0.462578,13.273352,7.34,7.12,7.36,83.8200012207031,90.7721404276,58.68,70,65.48,7,6.832,90.7721404276,54.171336364,57.5,50,1996,11.3601356723987
POL,"(2000,2005]",2003,550796.375,3.07808899879456,17.1458688378334,14.3291750920325,2.66136730161662,3.64912884015648,2.54373216546579,-0.0976833779309061,58.351123046875,46.6351699829102,70.0670799255371,59.0583572387695,40.374683380127,77.7420303344727,57.6438919067383,52.8956558227539,62.3921279907227,2.71255290493585,65.9850169224925,31.650775968171,34.3342409543215,38206135.4,75001082822.7697,113084668192.22,80903243822.9005,117613305475.409,15.754350006629,136.504144557266,0.438740966198695,280500.30160686,-0.244946267642081,0.492095586657524,73267.2,233744.2,10161.8,0.30557869683829,0.986596664346198,0.0404373042517002,26.395414,0.28136,26.676774,7.356,7.21,7.29,89.3199996948242,93.6454545598333,61.38,58,75.24,7.21,7.29,93.6454545598333,83.64201355,82.8125,68.75,2001,13.6180201248916
RUS,"(1995,2000]",1998,1259731.125,3.05478272438049,15.9813410043716,8.55093386271276,2.144156173114,4.99251678919928,-1.00569539382247,-0.256863090892345,48.770240020752,48.9626434326172,48.5778289794922,46.846745300293,44.6278388977051,49.0656509399414,50.6937255859375,53.2974449157715,48.0900047302246,39.3488552058816,57.6877728101276,33.8608889902077,23.8268838199198,147511398,97193735238.7613,215004006803.712,71404758740.3245,88849819962.2496,13.4831331732047,177.818791315923,0.341817476958041,132789.234918994,-0.778844290971756,0.366863214969635,40098.4,381447.2,9764.4,0.135305129259947,1.3009882001851,0.0348165857060731,6.155508,3.683656,9.839164,6.25,6.38,6.32,92.163020324707,89.46955374925,51.86,54,52.44,6.276,5.976,89.1697963207,134.16686096,55,42.5,1996,9.1300196169215
RUS,"(2000,2005]",2003,1564840.225,3.20360407829285,16.9396424293518,10.826426563865,2.37099566046413,4.97431227623053,8.4323555287051,-0.383211006379547,50.2415702819824,54.5594108581543,45.9237342834473,46.1073783874512,44.9480155944824,47.2667366027832,54.3757675170899,64.1708030700684,44.5807334899902,14.9005901418771,58.6359348579607,35.3954052907118,23.2405295672488,144703192.6,171767155218.431,319911918310.598,111350619663.139,153511765189.671,12.0158879592217,208.659627046221,0.331257064612159,173532.780719553,-0.496231472492218,0.433153533935547,193504.2,711319.4,66206,0.36484161909975,1.39120442603219,0.119649296770425,20.240174,17.596814,37.836988,6.262,6.422,6.054,92.5288970947266,89.31250728,50.68,46,58.68,6.422,6.054,89.33152,130.53528138,62.5,46.875,2001,9.12998650017376
RUS,"(2005,2010]",2008,2777939.35,3.2697030544281,16.7144972085953,19.4053702363314,2.95925004648313,4.96396675945123,9.49104328352094,-0.0647636476155888,48.9548614501953,52.3174201965332,45.592301940918,38.5898391723633,36.9860244750977,40.1936561584473,59.3198822021484,67.648819732666,50.9909469604492,10.2566885799019,51.7225114338321,30.4715516502947,21.2509597835375,142846351.4,406610560024.998,428327100974.275,285493296496.746,304330101830.8,11.4939383175771,272.901754262982,0.32610410028096,260883.869725834,0.0126306742429734,0.552513426542282,659016.2,1986269.8,205725,0.473039703313177,1.41627969778021,0.151698014765606,27.240514,21.58977,48.830284,5.608,5.608,4.596,,92.079912620875,51.1,29,59.72,5.608,4.596,91.85083376165,117.76868592,,,2006,15.8960930992763
RUS,"(2010,2015]",2013,3615394.05,3.3423159122467,15.9223136305809,25.1801523768746,3.22474074384374,4.96693459974903,0.968001743496156,0.102303188002075,50.1246795654297,48.4024269104004,51.8469299316406,40.5276679992676,34.9228729248047,46.1324638366699,59.7216903686524,61.8819862365723,57.5613967895508,8.72488838001211,47.6677361227939,27.2923849211212,20.3753512016726,143517198.2,542083235115.138,468822633693.045,406400340029.088,393510374119.822,11.0689116850572,264.619107341777,0.321697633614842,297441.531120467,0.986584413051603,0.780966293811798,855371.4,2362071.4,163994,0.443520002930692,1.22526990719524,0.0834559846875697,18.70759,16.772,35.47959,6.202,6.2,5.224,,93.5865499615,51.22,25,72.68,6.2,5.224,93.5865499615,100.228813165,,,2011,24.8976204173651
SEN,"(2000,2005]",2003,25884.3421875,1.35341038703918,18.764483332634,2.42173980916644,0.884185160930842,2.3678681323435,1.25923631776659,2.59116072763026,42.1777893066406,48.9505653381348,35.4050186157227,33.2338996887207,45.3810478210449,21.0867496490479,51.1216873168945,52.5200828552246,49.7232887268067,1.49718414580906,67.1425973042598,27.6108189796449,39.5317783246149,10552293.8,2350139487.34696,2774224607.6186,3409283458.0533,4241533885.76259,5.15740786580373,4.07327447975043,0.486464360841374,223836.323078068,-1.21001923084259,0.265725812315941,1446.2,8920.2,137.6,0.212099651583352,1.33507776244006,0.0212301347702528,3.581694,0.7306375,4.43827,6.35,6.136,5.902,87.3709213256836,90.9524167154,58.44,50,63.84,6.136,5.902,90.9524167154,68.552292,50,62.5,2001,2.42009736674951
SEN,"(2005,2010]",2008,32127.496484375,1.42435126304626,24.6461668610573,2.6260774171692,0.965044133831874,2.50232462641958,1.56613589827548,2.76007976765811,44.0014350891113,49.3051788330078,38.6976936340332,41.486222076416,49.2719192504883,33.7005252838135,46.5166488647461,49.3384414672852,43.6948600769043,2.85869044148242,58.446091424523,21.0752779343108,37.3708134902122,12017456.2,3147583084.39828,3125662414.05789,5600453541.08235,5201429558.59072,4.67182178023443,4.52899398573445,0.540471992345144,336500.759861001,-1.21001923084259,0.265725812315941,3658.4,13353,82.4,0.30268094253617,1.10982224427861,0.00742720684727721,7.187202,1.190638,8.37784,6.79,6.788,6.656,,90.9997061635,56.7,45,70.14,6.788,6.656,90.9997061635,72.394452,,,2006,2.51735028994539
SEN,"(2010,2015]",2013,40406.89765625,1.50652756690979,26.7344078421593,2.85510643816997,1.04833014011124,2.64738770920602,2.06974690252913,2.96061318359679,47.0925010681152,55.2672462463379,38.9177474975586,43.2564994812012,51.7499893188477,34.7630107879639,50.9284965515137,58.7845069885254,43.0724868774414,0.915331871101927,59.0303147954289,22.0187286754216,37.0115861200073,13794282,4059682612.35209,3517297977.74908,6826220442.23965,6265937313.2533,4.39837481722838,4.79843118975725,0.566179976017286,356423.061386642,-1.21001923084259,0.265725812315941,5332.8,20480.2,85.6,0.36798053996887,1.41304400397236,0.00590850260485299,14.69156,1.963662,16.655222,6.904,6.902,6.864,,91.4502640291,55.96,53,72.96,6.902,6.864,91.4502640291,86.6379825,,,2011,2.73558673651674
SGP,"(1990,1995]",1993,70316.2640625,2.24858798980713,61.1410570144653,21.4439093960276,3.06331311536121,1.18928621148646,-4.64387239595279,2.8752143443048,86.901350402832,92.3672241210938,81.4354827880859,88.2667709350586,95.1950057983399,81.3385314941406,85.5359375,89.5394378662109,81.5324325561524,2.55974780711633,322.058442678993,167.847392642831,154.211050036162,3324561.2,108083776302.909,111556977422.205,99088683274.9145,100365328160.919,94.3223873929153,1682.05386191683,1.63409106482826,2923531.97201859,2.34670782089233,1.1,73697.2,244874.6,28013.8,1.13035703555779,3.71561130127069,0.401961359162746,73.085596,27.685046,100.770642,9.82,9.45,9.22,99.6399993896484,99.672522044,86.3,90,83,9.45,9.22,98.6949052226667,293.73512,100,100,1991,23.4223949683846
SGP,"(1995,2000]",1998,103920.0359375,2.60151510238647,48.6013567447662,27.6878064166425,3.30958419849705,1.31743271646084,11.6787388120599,2.35736503306079,90.0338653564453,95.1291229248047,84.9385986328125,91.1368316650391,96.0580902099609,86.215576171875,88.9308868408203,94.2001525878906,83.6616165161133,0.89951963511077,334.340841598404,175.364694446635,158.976147151768,3876113,163017873291.242,185759663117.442,147923866834.145,168894892003.573,89.8689706476629,1966.11504273171,1.69155100838941,3044915.78057184,1.91916069984436,0.99971354007721,155316.2,1031890,119088.8,1.68231398535657,11.2936360087975,1.30176893720593,100.601496,52.636858,153.238354,9.35,9.13,9.63,99.7799987792969,99.954405577,87.08,90,83,9.258,9.466,99.954405577,1047.129,100,95,1996,23.6518229542664
SGP,"(2000,2005]",2003,160038.328125,2.68006348609924,31.4277291297913,37.444915582214,3.60993293347595,1.44663159745711,0.548400031412522,2.75070265092938,92.8181533813477,97.4909118652344,88.1453979492188,94.3983932495117,98.2978866577148,90.498893737793,91.2379150390625,96.6839340209961,85.7919006347656,0.640251973001649,379.642181888261,201.735573669134,177.906608219127,4172242.8,213257340170.592,266532727848.739,187716167601.735,234647858234.975,83.2434048785916,2074.6625700101,1.89423727539868,2523916.73439274,2.34670782089233,1.1,329467.2,1734010.4,177199.2,3.13764156441573,16.6105396140919,1.67704727573271,179.045778,134.720058,313.765836,9.378,9.206,9.6,99.9274551391602,99.9730228904,88.18,90,84.2,9.206,9.6,99.9730228904,1565.3098,100,100,2001,33.3324205273143
SGP,"(2005,2010]",2008,259021.634375,2.89261841773987,34.9384593963623,53.4424766497911,3.9754184177568,1.57780075517903,3.27986102334236,2.44188747218661,94.6279968261719,98.3761596679688,90.8798461914063,96.4317092895508,99.156559753418,93.7068572998047,92.824299621582,97.5957672119141,88.05283203125,2.62322422120167,396.971390793928,211.730935506341,185.240455287587,4778733,402529923228.5,421054880338.125,352339989847.448,368648948221.533,76.736044393905,2323.65977979665,1.96870001036759,2930484.19811053,2.34670782089233,1.1,822827.6,3402544.2,350515.4,4.30279297963998,17.9667913346457,1.87108003153991,243.034874,187.244416,430.27929,9.4,9.396,9.57,,99.9291404717,87.12,81,89,9.396,9.57,99.9291404717,1699.732,,,2006,53.7553673161214
